,DOI
1,https://journals.sagepub.com/doi/pdf/10.1177/0022242918812056
2,https://journals.sagepub.com/doi/pdf/10.1177/0022242918812055
3,https://journals.sagepub.com/doi/pdf/10.1177/0022242918814254
4,https://journals.sagepub.com/doi/pdf/10.1177/0022242918815895
5,https://journals.sagepub.com/doi/pdf/10.1177/0022242918805485
6,https://journals.sagepub.com/doi/pdf/10.1177/0022242918805455
7,https://journals.sagepub.com/doi/pdf/10.1177/0022242918805059
8,https://journals.sagepub.com/doi/pdf/10.1177/0022242918807170
9,https://journals.sagepub.com/doi/pdf/10.1177/0022242918805468
10,https://journals.sagepub.com/doi/pdf/10.1177/0022242918805405
11,https://journals.sagepub.com/doi/pdf/10.1177/0022242918805411
12,https://journals.sagepub.com/doi/pdf/10.1177/0022242918815894
13,https://journals.sagepub.com/doi/pdf/10.1177/0022242918807673
14,https://journals.sagepub.com/doi/pdf/10.1177/0022242918809380
15,https://journals.sagepub.com/doi/pdf/10.1177/0022242918818404
16,https://journals.sagepub.com/doi/pdf/10.1177/0022242918815880
17,https://journals.sagepub.com/doi/pdf/10.1177/0022242918816319
18,https://journals.sagepub.com/doi/pdf/10.1177/0022242918799699
19,https://journals.sagepub.com/doi/pdf/10.1509/jm.10.0231
20,https://journals.sagepub.com/doi/pdf/10.1509/jm.12.0338
21,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.71.2.196
22,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.75.4.183
23,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.71.2.169
24,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.75.4.196
25,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.75.4.155
26,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.74.6.18
27,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.75.4.21
28,https://journals.sagepub.com/doi/pdf/10.1509/jm.10.0280
29,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.75.4.35
30,https://journals.sagepub.com/doi/pdf/10.1509/jm.09.0512
31,https://journals.sagepub.com/doi/pdf/10.1509/jm.10.0445
32,https://journals.sagepub.com/doi/pdf/10.1509/jm.10.0444
33,https://journals.sagepub.com/doi/pdf/10.1509/jm.12.0167
34,https://journals.sagepub.com/doi/pdf/10.1509/jm.12.0166
35,https://journals.sagepub.com/doi/pdf/10.1509/jm.14.0249
36,https://journals.sagepub.com/doi/pdf/10.1509/jm.13.0198
37,https://journals.sagepub.com/doi/pdf/10.1509/jm.15.0275
38,https://journals.sagepub.com/doi/pdf/10.1509/jm.14.0473
39,https://journals.sagepub.com/doi/pdf/10.1509/jm.15.0300
40,https://journals.sagepub.com/doi/pdf/10.1509/jm.16.0018
41,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.69.3.66.66368
42,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.69.3.152.66361
43,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.2005.69.4.239
44,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.2005.69.4.167
45,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.69.3.49.66362
46,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.66.3.128.18509
47,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.65.3.1.18332
48,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.65.3.64.18333
49,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.66.1.55.18455
50,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.64.2.51.17995
51,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.64.4.52.18075
52,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.67.3.129.18650
53,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.67.4.103.18692
54,https://journals.sagepub.com/doi/pdf/10.1509/jm.08.0204
55,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.64.3.18.18026
56,https://journals.sagepub.com/doi/pdf/10.1509/jm.09.0589
57,https://journals.sagepub.com/doi/pdf/10.1177/0022242918809930
58,https://journals.sagepub.com/doi/pdf/10.1509/jm.15.0229
59,https://journals.sagepub.com/doi/pdf/10.1509/jm.15.0015
60,https://journals.sagepub.com/doi/pdf/10.1509/jm.15.0372
61,https://journals.sagepub.com/doi/pdf/10.1509/jm.15.0414
62,https://journals.sagepub.com/doi/pdf/10.1509/jm.16.0057
63,https://journals.sagepub.com/doi/pdf/10.1509/jm.15.0215
64,https://journals.sagepub.com/doi/pdf/10.1509/jm.15.0205
65,https://journals.sagepub.com/doi/pdf/10.1509/jm.16.0457
66,https://journals.sagepub.com/doi/pdf/10.1509/jm.16.0120
67,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.74.3.107
68,https://journals.sagepub.com/doi/pdf/10.1509/jm.14.0100
69,https://journals.sagepub.com/doi/pdf/10.1509/jm.15.0358
70,https://journals.sagepub.com/doi/pdf/10.1509/jm.15.0402
71,https://journals.sagepub.com/doi/pdf/10.1509/jm.15.0060
72,https://journals.sagepub.com/doi/pdf/10.1509/jm.15.0074
73,https://journals.sagepub.com/doi/pdf/10.1509/jm.16.0082
74,https://journals.sagepub.com/doi/pdf/10.1509/jm.14.0089
75,https://journals.sagepub.com/doi/pdf/10.1509/jm.16.0055
